repo,file,method,startLine,endLine,pattern,suggestion,note
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\config\MallSecurityConfig.java,dynamicSecurityService,42,44,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductCategoryServiceImpl.java,insertRelationList,60,65,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,handleSkuStockCode,99,112,INDEXED_LOOP,ForkJoin / RecursiveTask,Heavy computation in indexed loop. Consider ForkJoin for divide-and-conquer parallelism.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,handleUpdateSkuStockList,199,201,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,updateVerifyStatus,242,250,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\PmsProductServiceImpl.java,relateAndInsertList,313,318,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,create,46,48,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,create,53,55,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,update,90,92,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsCouponServiceImpl.java,update,98,100,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsFlashPromotionProductRelationServiceImpl.java,create,27,29,FOREACH_LOOP,Parallel Stream,Per-element work over a collection. Candidate for parallel stream if independent.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsFlashPromotionSessionServiceImpl.java,selectList,70,76,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeBrandServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeNewProductServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeRecommendProductServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\SmsHomeRecommendSubjectServiceImpl.java,create,24,28,MULTI_CALL_LOOP,CompletableFuture,Multiple independent calls inside loop. Consider supplyAsync composition.
macrozheng/mall,mall-admin\src\main\java\com\macro\mall\service\impl\UmsAdminServiceImpl.java,updateRole,208,213,AGG_LOOP,Parallel Stream,Sequential aggregation. Consider parallel reduction with primitive streams.
